"acquisition_rank","primary_bucket","source_route","evidence_grade_now","cisi","packet_rank_min","packet_row_count","packet_rows","packet_labels","subtypes","short_texts","side_relations","context_classes","longer_texts","long_token_sets","sequence_family_keys","sequence_family_count_max_no_h","metadata_row_count","metadata_rows","excavation_ids","figure_refs","area_sections","room_grids","period_phase","depth","material","shape_cross_section","condition_preservation","dimensions_mm","local_rows_to_reconcile","public_lead_statuses","source_request","preserves_034_residue_if","kills_or_downgrades_if","source_check_status"
"112","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1832","82","1","415.1","positive_034_residue_candidate","034","415.1:+700-034+","short_before_all_longer","single_longer_text","+400-297-352-892-590-740-176+","176;297;352;400;590;740;892","1:+700-034+|2:+400-297-352-892-590-740-176+","1","2","415.1;415.2","H2000-4470","Figure 42.04","ETrench 54","--","Period 3B/C/B/C","- -","Faience","rectangular/rectangular","Fair/complete","24 x 9 x 3.5","415.1:+700-034+;415.2:+400-297-352-892-590-740-176+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1832. Metadata source hooks: H2000-4470; Figure 42.04. Packet rows to verify: 415.1 +700-034+. All local rows to reconcile: 415.1 +700-034+; 415.2 +400-297-352-892-590-740-176+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"113","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-320","86","1","1342.2","positive_034_residue_candidate","034","1342.2:+700-034+","no_longer_text","single_short_no_longer_text","NO_LONGER_TEXT","NO_LONGER_TEXT","1:+520-240-000+|2:+700-034+","1","2","1342.1;1342.2","3173","","FTrench I","-M11/18","Period 3B/C/-","- -","Steatite","oval/rectangular","Poor/complete","14 x 7.6 x 0","1342.1:+520-240-000+;1342.2:+700-034+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-320. Metadata source hooks: 3173. Packet rows to verify: 1342.2 +700-034+. All local rows to reconcile: 1342.1 +520-240-000+; 1342.2 +700-034+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"114","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-324","87","1","1346.2","positive_034_residue_candidate","034","1346.2:+700-034+","short_after_all_longer","single_longer_text","+400-156-384-031+","031;156;384;400","1:+400-156-384-031+|2:+700-034+","1","2","1346.1;1346.2","11851484","","F-","--","Period 3B/C/-","-14.0 ft","Steatite","rectangular-round/rectangular","Poor/complete","14 x 7.6 x 0","1346.1:+400-156-384-031+;1346.2:+700-034+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-324. Metadata source hooks: 11851484. Packet rows to verify: 1346.2 +700-034+. All local rows to reconcile: 1346.1 +400-156-384-031+; 1346.2 +700-034+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"115","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-351","88","1","1370.2","positive_034_residue_candidate","034","1370.2:+700-034+","short_after_all_longer","single_longer_text","+400-740-032-060-013+","013;032;060;400;740","1:+400-740-032-060-013+|2:+700-034+","1","2","1370.1;1370.2","2429581","","FTrench III","-N9/3","Period 3B/C/Stratum VI","-18.42 ft","Steatite","prism/triangular","Good/complete","15.2 x 7.6 x 0","1370.1:+400-740-032-060-013+;1370.2:+700-034+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-351. Metadata source hooks: 2429581. Packet rows to verify: 1370.2 +700-034+. All local rows to reconcile: 1370.1 +400-740-032-060-013+; 1370.2 +700-034+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"116","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-363","89","1","1382.2","positive_034_residue_candidate","034","1382.2:+700-034+","short_after_all_longer","single_longer_text","+565-741-263+","263;565;741","1:+565-741-263+|2:+700-034+|3:+692-892+","1","3","1382.1;1382.2;1382.3","13030","","--","--","-/-","- -","","rectangular/squarish","Poor/complete","16 x 5 x 3.5","1382.1:+565-741-263+;1382.2:+700-034+;1382.3:+692-892+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-363. Metadata source hooks: 13030. Packet rows to verify: 1382.2 +700-034+. All local rows to reconcile: 1382.1 +565-741-263+; 1382.2 +700-034+; 1382.3 +692-892+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"117","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-785","90","1","1676.1","positive_034_residue_candidate","034","1676.1:+700-034+","no_longer_text","single_short_no_longer_text","NO_LONGER_TEXT","NO_LONGER_TEXT","1:+700-034+|2:+740-255-000+","1","2","1676.1;1676.2","11348681","","FTrench VI","-O9/18","Period 3C-2/Stratum III","-8.0 ft","Steatite","rectangular/rectangular","Poor/complete","15.2 x 7.1 x 0","1676.1:+700-034+;1676.2:+740-255-000+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-785. Metadata source hooks: 11348681. Packet rows to verify: 1676.1 +700-034+. All local rows to reconcile: 1676.1 +700-034+; 1676.2 +740-255-000+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"118","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-893","91","1","1775.2","positive_034_residue_candidate","034","1775.2:+700-034+","short_after_all_longer","single_longer_text","+400-740-337+","337;400;740","1:+400-740-337+|2:+700-034+","1","2","1775.1;1775.2","12581522","","FTrench I","-M12/23","Period 3B/C/Stratum VI","-16.9 ft","Steatite","rectangular/rectangular","Fair/chipped","14 x 7.6 x 0","1775.1:+400-740-337+;1775.2:+700-034+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-893. Metadata source hooks: 12581522. Packet rows to verify: 1775.2 +700-034+. All local rows to reconcile: 1775.1 +400-740-337+; 1775.2 +700-034+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"119","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-983","92","1","1859.2","positive_034_residue_candidate","034","1859.2:+700-034+","short_after_all_longer","single_longer_text","+400-740-637-240+","240;400;637;740","1:+400-740-637-240+|2:+700-034+","1","2","1859.1;1859.2","2528582","","FTrench III","-N9/10","Period 3B/C/Stratum VI","-17.83 ft","Steatite","prism/triangular","Fair/complete","15.2 x 6.4 x 0","1859.1:+400-740-637-240+;1859.2:+700-034+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-983. Metadata source hooks: 2528582. Packet rows to verify: 1859.2 +700-034+. All local rows to reconcile: 1859.1 +400-740-637-240+; 1859.2 +700-034+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"120","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1354","93","1","222.3","positive_034_residue_candidate","034","222.3:+700-034+","short_after_all_longer","multiple_longer_texts","+740-714-840-799+|+824-032-578-415+","032;415;578;714;740;799;824;840","1:+824-032-578-415+|2:+740-714-840-799+|3:+700-034+","1","3","222.1;222.2;222.3","11349583","","FTrench VI","-O10/16","Period 3B/C/Stratum V","-11.33 ft","Steatite","rectangular/squarish","Fair/complete","16.3 x 6.4 x 0","222.1:+824-032-578-415+;222.2:+740-714-840-799+;222.3:+700-034+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1354. Metadata source hooks: 11349583. Packet rows to verify: 222.3 +700-034+. All local rows to reconcile: 222.1 +824-032-578-415+; 222.2 +740-714-840-799+; 222.3 +700-034+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"121","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-823","97","1","1712.1","positive_034_residue_candidate","034","1712.1:+700-034+","short_before_all_longer","single_longer_text","+740-636-240-060-692+","060;240;636;692;740","1:+700-034+|2:+740-636-240-060-692+","1","2","1712.1;1712.2","H88-1196","","--","--","-/-","- -","","rectangular/-","Fair/complete","23.5 x 11 x 0","1712.1:+700-034+;1712.2:+740-636-240-060-692+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-823. Metadata source hooks: H88-1196. Packet rows to verify: 1712.1 +700-034+. All local rows to reconcile: 1712.1 +700-034+; 1712.2 +740-636-240-060-692+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"122","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1845","98","1","424.1","positive_034_residue_candidate","034","424.1:+700-034+","short_before_all_longer","single_longer_text","+740-642-240-060-692+","060;240;642;692;740","1:+700-034+|2:+740-642-240-060-692+","1","2","424.1;424.2","H2000-4484","Figure 42.05","ETrench 54","--","Period 3B/C/B/C","-0.0 m","Faience","rectangular/rectangular","Good/complete","23.6 x 11.5 x 3","424.1:+700-034+;424.2:+740-642-240-060-692+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1845. Metadata source hooks: H2000-4484; Figure 42.05. Packet rows to verify: 424.1 +700-034+. All local rows to reconcile: 424.1 +700-034+; 424.2 +740-642-240-060-692+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"123","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1846","99","1","686.1","positive_034_residue_candidate","034","686.1:+700-034+","short_before_all_longer","single_longer_text","+740-603-240-060-692+","060;240;603;692;740","1:+700-034+|2:+740-603-240-060-692+","1","2","686.1;686.2","H95-2672","Figure 30.13","ETrench 10W/11","--","-/-","- -","Faience","rectangular/rectangular","Good/complete","23.5 x 11 x 5","686.1:+700-034+;686.2:+740-603-240-060-692+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1846. Metadata source hooks: H95-2672; Figure 30.13. Packet rows to verify: 686.1 +700-034+. All local rows to reconcile: 686.1 +700-034+; 686.2 +740-603-240-060-692+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"124","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1850","100","1","480.1","positive_034_residue_candidate","034","480.1:+700-034+","short_before_all_longer","single_longer_text","+400-740-760-382+","382;400;740;760","1:+700-034+|2:+400-740-760-382+","1","2","480.1;480.2","H2001-5141","Figure 48.07","ETrench 11","--","Period 3B/C/B/C","- -","Faience","rectangular/rectangular","Fair/complete","17 x 9 x 2.2 - 2.8","480.1:+700-034+;480.2:+400-740-760-382+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1850. Metadata source hooks: H2001-5141; Figure 48.07. Packet rows to verify: 480.1 +700-034+. All local rows to reconcile: 480.1 +700-034+; 480.2 +400-740-760-382+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"125","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1854","101","1","427.1","positive_034_residue_candidate","034","427.1:+700-034+","short_before_all_longer","single_longer_text","+400-740-717+","400;717;740","1:+700-034+|2:+400-740-717+","1","2","427.1;427.2","H2000-4489","Figure 46.01","ETrench 55","--","Period 3B/C/B/C","- -","Faience","rectangular/rectangular","Good/complete","15.3 x 8.3 x 2.1 - 3.3","427.1:+700-034+;427.2:+400-740-717+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1854. Metadata source hooks: H2000-4489; Figure 46.01. Packet rows to verify: 427.1 +700-034+. All local rows to reconcile: 427.1 +700-034+; 427.2 +400-740-717+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"126","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1867","102","1","506.1","positive_034_residue_candidate","034","506.1:+700-034+","short_before_all_longer","single_longer_text","+151-740-221+","151;221;740","1:+700-034+|2:+151-740-221+","1","2","506.1;506.2","H90-1593","Figure 13.46 (k)","EC","3-","Period 3B/B","- -","Faience","rectangular/-","Fair/complete","16 x 8 x 0","506.1:+700-034+;506.2:+151-740-221+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1867. Metadata source hooks: H90-1593; Figure 13.46 (k). Packet rows to verify: 506.1 +700-034+. All local rows to reconcile: 506.1 +700-034+; 506.2 +151-740-221+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"127","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1987","103","1","394.1","positive_034_residue_candidate","034","394.1:+700-034+","short_before_all_longer","single_longer_text","+390-004-455-371-741-590+","004;371;390;455;590;741","1:+700-034+|2:+390-004-455-371-741-590+","1","2","394.1;394.2","H2000-4426","Figure 39.07","ETrench 54","--","Period 3B/C/B/C","- -","Clay","rectangular/round","Fair/complete","23.2 x 9.2 x 7","394.1:+700-034+;394.2:+390-004-455-371-741-590+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1987. Metadata source hooks: H2000-4426; Figure 39.07. Packet rows to verify: 394.1 +700-034+. All local rows to reconcile: 394.1 +700-034+; 394.2 +390-004-455-371-741-590+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"128","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-2204","104","1","659.1","positive_034_residue_candidate","034","659.1:+700-034+","short_before_all_longer","single_longer_text","+400-740-032-027+","027;032;400;740","1:+700-034+|2:+400-740-032-027+","1","2","659.1;659.2","H95-2482","Figure 27.06","ETrench 10W/11","--","Period 3B/C/B/C","- -","Steatite","prism/triangular","Good/complete","19 x 7.3 x 0","659.1:+700-034+;659.2:+400-740-032-027+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-2204. Metadata source hooks: H95-2482; Figure 27.06. Packet rows to verify: 659.1 +700-034+. All local rows to reconcile: 659.1 +700-034+; 659.2 +400-740-032-027+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"129","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-2206","105","1","871.1","positive_034_residue_candidate","034","871.1:+700-034+","short_before_all_longer","single_longer_text","+740-032-025+","025;032;740","1:+700-034+|2:+740-032-025+","1","2","871.1;871.2","H97-3334","Figure 15.05","ETrench 11","--","Period 3/-","- -","Steatite","prism/triangular","Poor/chipped","0 x 7 x 0","871.1:+700-034+;871.2:+740-032-025+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-2206. Metadata source hooks: H97-3334; Figure 15.05. Packet rows to verify: 871.1 +700-034+. All local rows to reconcile: 871.1 +700-034+; 871.2 +740-032-025+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"130","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-319","106","1","1341.2","duplicate_family_risk;positive_034_residue_candidate","034","1341.2:+700-034+","short_after_all_longer","single_longer_text","+520-220-415+","220;415;520","1:+520-220-415+|2:+700-034+","2","2","1341.1;1341.2","10060544","","FTrench IV+V","-I12/1","Period 3C-1/Stratum IV","-6.0 ft","Steatite","oval/rectangular","Good/complete","13.2 x 7.6 x 0","1341.1:+520-220-415+;1341.2:+700-034+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-319. Metadata source hooks: 10060544. Packet rows to verify: 1341.2 +700-034+. All local rows to reconcile: 1341.1 +520-220-415+; 1341.2 +700-034+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"131","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1284","107","1","4069.2","duplicate_family_risk;positive_034_residue_candidate","034","4069.2:+700-034+","short_after_all_longer","single_longer_text","+520-220-415+","220;415;520","1:+520-220-415+|2:+700-034+","2","2","4069.1;4069.2","-458","","--","--","-/-","- -","","rectangular/rectangular","Good/complete","13 x 7 x 0","4069.1:+520-220-415+;4069.2:+700-034+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1284. Metadata source hooks: -458. Packet rows to verify: 4069.2 +700-034+. All local rows to reconcile: 4069.1 +520-220-415+; 4069.2 +700-034+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"132","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-297","111","1","1319.2","positive_034_residue_candidate","034","1319.2:+700-034+","short_after_all_longer","single_longer_text","+400-151-336-630-706+","151;336;400;630;706","1:+400-151-336-630-706+|2:+700-034+","1","2","1319.1;1319.2","","","--","--","-/-","- -","","rectangular/-","Fair/complete","20 x 9 x 0","1319.1:+400-151-336-630-706+;1319.2:+700-034+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-297. Metadata source hooks: no excavation/figure hook in filtered metadata. Packet rows to verify: 1319.2 +700-034+. All local rows to reconcile: 1319.1 +400-151-336-630-706+; 1319.2 +700-034+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"133","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-350","112","1","1369.2","positive_034_residue_candidate","034","1369.2:+700-034+","short_after_all_longer","single_longer_text","+740-690-642-240+","240;642;690;740","1:+740-690-642-240+|2:+700-034+","1","2","1369.1;1369.2","3534a576","","F-","--","Period 3B/C/-","-10.0 ft","Steatite","prism/triangular","Fair/complete","17.8 x 8.9 x 0","1369.1:+740-690-642-240+;1369.2:+700-034+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-350. Metadata source hooks: 3534a576. Packet rows to verify: 1369.2 +700-034+. All local rows to reconcile: 1369.1 +740-690-642-240+; 1369.2 +700-034+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"134","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-771","113","1","1663.2","positive_034_residue_candidate","034","1663.2:+700-034+","short_after_all_longer","single_longer_text","+032-257-840+","032;257;840","1:+032-257-840+|2:+700-034+","1","2","1663.1;1663.2","657678","","FTrench I","-M11/15","Period 3B/C/Stratum VI","-16.5 ft","Faience","rectangular/rectangular","Good/complete","16.5 x 8.9 x 0","1663.1:+032-257-840+;1663.2:+700-034+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-771. Metadata source hooks: 657678. Packet rows to verify: 1663.2 +700-034+. All local rows to reconcile: 1663.1 +032-257-840+; 1663.2 +700-034+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"135","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-780","114","1","1671.2","positive_034_residue_candidate","034","1671.2:+700-034+","short_after_all_longer","single_longer_text","+740-400-142-061+","061;142;400;740","1:+740-400-142-061+|2:+700-034+","1","2","1671.1;1671.2","3789361","","FTrench I","-M12/7","Period 3B/C/Stratum VI","-17.5 ft","Faience","rectangular/rectangular","Fair/complete","16.5 x 10.2 x 0","1671.1:+740-400-142-061+;1671.2:+700-034+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-780. Metadata source hooks: 3789361. Packet rows to verify: 1671.2 +700-034+. All local rows to reconcile: 1671.1 +740-400-142-061+; 1671.2 +700-034+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"136","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1120","115","1","3968.2","positive_034_residue_candidate","034","3968.2:+700-034+","no_longer_text","single_short_no_longer_text","NO_LONGER_TEXT","NO_LONGER_TEXT","1:+740-000-000-705+|2:+700-034+","1","2","3968.1;3968.2","13968155","","--","--","-/-","- -","","rectangular/-","Poor/complete","16 x 8 x 0","3968.1:+740-000-000-705+;3968.2:+700-034+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1120. Metadata source hooks: 13968155. Packet rows to verify: 3968.2 +700-034+. All local rows to reconcile: 3968.1 +740-000-000-705+; 3968.2 +700-034+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"137","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1138","116","1","198.2","positive_034_residue_candidate","034","198.2:+700-034+","short_after_all_longer","single_longer_text","+740-603-240-060-692+","060;240;603;692;740","1:+740-603-240-060-692+|2:+700-034+","1","2","198.1;198.2","-346","","--","--","-/-","- -","Faience","rectangular/rectangular","Fair/complete","21.6 x 11.4 x 0","198.1:+740-603-240-060-692+;198.2:+700-034+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1138. Metadata source hooks: -346. Packet rows to verify: 198.2 +700-034+. All local rows to reconcile: 198.1 +740-603-240-060-692+; 198.2 +700-034+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"138","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1874","117","1","388.1","positive_034_residue_candidate","034","388.1:+700-034+","no_longer_text","single_short_no_longer_text","NO_LONGER_TEXT","NO_LONGER_TEXT","1:+700-034+|2:+002-220-455-000+","1","2","388.1;388.2","H2000-4403","Figure 44.03","ETrench 54","--","Period 3B/B","- -","Faience","rectangular/rectangular","Poor/complete","14.8 x 9 x 3.4","388.1:+700-034+;388.2:+002-220-455-000+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1874. Metadata source hooks: H2000-4403; Figure 44.03. Packet rows to verify: 388.1 +700-034+. All local rows to reconcile: 388.1 +700-034+; 388.2 +002-220-455-000+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"139","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1981","118","1","393.1","positive_034_residue_candidate","034","393.1:+700-034+","no_longer_text","single_short_no_longer_text","NO_LONGER_TEXT","NO_LONGER_TEXT","1:+700-034+|2:+000-004-745-590+","1","2","393.1;393.2","H2000-4417","Figure 39.08","ETrench 54","--","Period 3B/C/B/C","- -","Clay","rectangular/round","Good/complete","26.5 x 10 x 8","393.1:+700-034+;393.2:+000-004-745-590+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1981. Metadata source hooks: H2000-4417; Figure 39.08. Packet rows to verify: 393.1 +700-034+. All local rows to reconcile: 393.1 +700-034+; 393.2 +000-004-745-590+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
"140","E_other_034_residue","direct_CISI_HARP_plate_request","no_public_lead_source_required","H-1982","119","1","690.1","positive_034_residue_candidate","034","690.1:+700-034+","no_longer_text","single_short_no_longer_text","NO_LONGER_TEXT","NO_LONGER_TEXT","1:+700-034+|2:+390-000-742-000+","1","2","690.1;690.2","H95-2601","Figure 23.08","ETrench 7/8","--","Period 3B/B","- -","Clay","cylindrical/round","Poor/complete","28.1 x 0 x 8","690.1:+700-034+;690.2:+390-000-742-000+","no_checked_public_lead","Request source-grade images/plates for all catalog rows of H-1982. Metadata source hooks: H95-2601; Figure 23.08. Packet rows to verify: 690.1 +700-034+. All local rows to reconcile: 690.1 +700-034+; 690.2 +390-000-742-000+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","Local 034 row remains acquisition-only until source image, side order, segmentation, and family independence are validated.","Source image, side order, segmentation, or family independence fails.","source_acquisition_only_source_images_not_validated"
